ds,yhat,trend,weekly,diwali
2025-10-20,1058.5250356701613,1037.4972080435,21.7561274999025,-0.7282998732411209
2025-10-21,1055.572650915842,1037.4765760466119,23.737041860460355,-5.640966991230323
2025-10-22,1062.644806305796,1037.4559440497237,27.18578048340867,-1.9969182273362698
2025-10-23,1068.0756287364104,1037.4353120528356,29.417781647972824,1.2225350356020495
2025-10-24,1066.2870444933526,1037.4146800559474,28.763249564415972,0.10911487298918662
2025-10-25,975.1111678550961,1037.3940480590593,-67.16910416373129,4.886223959768201
2025-10-26,984.369379547865,1037.3734160621711,-63.69087689264262,10.68684037833647
2025-10-27,1063.3714853002443,1037.352784065283,21.75612749996601,4.2625737349954305
2025-10-28,1058.554183848316,1037.3321520683949,23.737041860520517,-2.5150100805993723
2025-10-29,1067.1605762161341,1037.3115200715067,27.185780483428825,2.6632756611985102
2025-10-30,1074.5700102444844,1037.2908880746186,29.417781648019492,7.861340521846401
2025-10-31,1072.5466380305443,1037.2702560777307,28.763249564408447,6.513132388405234
2025-11-01,973.9533778583282,1037.2496240808425,-67.16910416376064,3.8728579412462465
2025-11-02,974.4301173289026,1037.2289920839544,-63.690876892870044,0.8920021378182552
2025-11-03,1059.033323119776,1037.2083600870662,21.75612749995633,0.06883553275352686
2025-11-04,1060.2214977666324,1037.187728090178,23.737041860493825,-0.7032721840394659
2025-11-05,1057.0197376768415,1037.16709609329,27.185780483422356,-7.33313889987092
2025-11-06,1057.536461555718,1037.1464640964018,29.41778164801814,-9.027784188702048
2025-11-07,1064.8919820685737,1037.1258320995137,28.763249564344363,-0.9970995952842207
2025-11-08,969.9076402291952,1037.1052001026255,-67.16910416353066,-0.028455709899714354
2025-11-09,969.2515642181888,1037.0845681057374,-63.690876892842915,-4.142126994705633
2025-11-10,1058.3821701713907,1037.0639361088492,21.756127500093005,-0.43789343755149546
2025-11-11,1058.7860400163643,1037.0433041119613,23.737041860515124,-1.994305956112177
2025-11-12,1052.9358303302067,1037.022672115073,27.185780483421524,-11.27262226828767
2025-11-13,1060.113236247758,1037.002040118185,29.417781647946104,-6.3065855183730815
2025-11-14,1071.8858291739255,1036.981408121297,28.763249564336835,6.141171488291698
2025-11-15,972.8507113752956,1036.9607761244088,-67.16910416356001,3.0590394144469264
2025-11-16,967.9239413679944,1036.9401441275206,-63.69087689281579,-5.325325866710465
2025-11-17,1057.20931860229,1036.9195121306325,21.75612750008333,-1.4663210284257617
2025-11-18,1066.1889609368247,1036.8988801337443,23.737041860488425,5.553038942591885
2025-11-19,1066.803679664116,1036.8782481368562,27.18578048341505,2.7396510438448742
2025-11-20,1061.7613024692291,1036.8576161399683,29.417781647968763,-4.514095318708031
2025-11-21,1061.2801434637356,1036.83698414308,28.763249564216185,-4.320090243560416
2025-11-22,970.2398251237603,1036.816352146192,-67.16910416358937,0.5925771411576137
2025-11-23,973.6108571498928,1036.7957201493036,-63.69087689270481,0.5060138932940026
2025-11-24,1060.2876579507385,1036.7750881524157,21.75612749988885,1.7564422984339285
2025-11-25,1069.7234863022852,1036.7544561555276,23.73704186050972,9.231988286248011
2025-11-26,1072.3425695407968,1036.7338241586394,27.185780483421887,8.422964898735561
2025-11-27,1065.2299682563223,1036.7131921617513,29.417781647991415,-0.9010055534204642
2025-11-28,1064.8229224448623,1036.6925601648632,28.763249564208657,-0.6328872842093856
